date,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-res_load,Controller1-0.time-based_0-dump,EV1-0.time-based_0-soc,CSV_EV_presence-0.time-based_0-ev1
2012-01-01 15:00:00,0.14307112993649712,-0.14307112993649712,-0.0,100,1.0
2012-01-01 15:15:00,-0.08692,0.1445280094731924,-0.05760800947319239,100,1.0
2012-01-01 15:30:00,-0.017937389742653423,0.017937389742653423,-0.0,100,1.0
2012-01-01 15:45:00,0.015424362901447108,-0.015424362901447108,-0.0,100,1.0
2012-01-01 16:00:00,0.2956790665299988,-0.2956790665299988,-0.0,100,1.0
2012-01-01 16:15:00,0.3362979933923272,-0.3362979933923272,-0.0,100,1.0
2012-01-01 16:30:00,0.1355617617329976,-0.1355617617329976,-0.0,100,0.0
2012-01-01 16:45:00,-0.03625982570799119,0.03625982570799119,-0.0,100,0.0
2012-01-01 17:00:00,0.26441659821789576,-0.26441659821789576,-0.0,100,0.0
2012-01-01 17:15:00,0.1863783876792381,-0.1863783876792381,-0.0,100,0.0
2012-01-01 17:30:00,0.10860394303647763,-0.10860394303647763,-0.0,100,0.0
2012-01-01 17:45:00,-0.107944,0.316080176,-0.208136176,100,0.0
2012-01-01 18:00:00,0.19299650544124147,-0.19299650544124147,-0.0,100,0.0
2012-01-01 18:15:00,0.009045845603614322,-0.009045845603614322,-0.0,100,0.0
2012-01-01 18:30:00,0.11999488831909333,-0.11999488831909333,-0.0,100,0.0
2012-01-01 18:45:00,-0.11133600000000002,0.4221129560733379,-0.3107769560733379,100,0.0
2012-01-01 19:00:00,-0.10886400000000002,0.7232062018021179,-0.6143422018021178,100,0.0
2012-01-01 19:15:00,-0.10644800000000001,0.7561963780760039,-0.6497483780760039,100,0.0
2012-01-01 19:30:00,-0.10408000000000002,0.45641366280953277,-0.35233366280953277,100,0.0
2012-01-01 19:45:00,-0.101768,0.2730274103955833,-0.17125941039558332,100,0.0
2012-01-01 20:00:00,-0.099504,0.30928395196550595,-0.20977995196550597,100,0.0
2012-01-01 20:15:00,-0.0026501433249555006,0.0026501433249555006,-0.0,100,0.0
2012-01-01 20:30:00,-0.09724000000000001,0.2584808210781652,-0.16124082107816523,100,0.0
2012-01-01 20:45:00,-0.010183659454399585,0.010183659454399585,-0.0,100,0.0
2012-01-01 21:00:00,0.3242409143028442,-0.3242409143028442,-0.0,100,0.0
2012-01-01 21:15:00,0.4215811534888411,-0.4215811534888411,-0.0,100,0.0
2012-01-01 21:30:00,0.2513554729371421,-0.2513554729371421,-0.0,100,0.0
2012-01-01 21:45:00,0.0597926939704061,-0.0597926939704061,-0.0,100,0.0
2012-01-01 22:00:00,0.060124391917446784,-0.060124391917446784,-0.0,100,0.0
2012-01-01 22:15:00,-0.052438973566597435,0.052438973566597435,-0.0,100,0.0
2012-01-01 22:30:00,0.21198719713775102,-0.21198719713775102,-0.0,100,0.0
2012-01-01 22:45:00,0.4376297550952364,-0.4376297550952364,-0.0,100,0.0
2012-01-01 23:00:00,0.3902977228476178,-0.3902977228476178,-0.0,100,0.0
2012-01-01 23:15:00,0.34366274259692003,-0.34366274259692003,-0.0,100,0.0
2012-01-01 23:30:00,-0.138712,0.1423309064722466,-0.003618906472246608,100,0.0
