date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-desired_out,H2_controller-0.time-based_0-dump,H2Buffer1-0.time-based_0-free_capacity,H2Buffer1-0.time-based_0-soc,H2Buffer1-0.time-based_0-h2_out
2012-01-02 19:15:00,162.66666666666666,141.66666666666666,200.0,93.09967141292442,106.90032858707556,304.3333333333333,0,47034.21352143664,74.35491554169866,200.0
2012-01-02 19:30:00,162.66666666666666,0.0,162.66666666666666,93.09967141292442,106.90032858707556,162.66666666666666,0,47096.88018810329,74.32074696867353,162.66666666666666
2012-01-02 19:45:00,0.0,187.3333333333333,187.3333333333333,0.0,162.66666666666666,187.3333333333333,0,47184.21352143664,74.27312906371297,187.3333333333333
2012-01-02 20:00:00,215.0,187.3333333333333,200.0,187.33333333333337,0.0,402.33333333333337,0,47284.21352143664,74.21860474505584,200.0
2012-01-02 20:15:00,215.0,187.3333333333333,200.0,93.12344656172328,106.87655343827672,402.33333333333337,0,47384.21352143666,74.16408042639871,200.0
2012-01-02 20:30:00,0.0,0.0,0.0,93.12344656172328,106.87655343827672,0.0,0,47284.21352143664,74.21860474505584,0.0
2012-01-02 20:45:00,0.0,192.66666666666663,192.66666666666663,0.0,0.0,192.66666666666663,0,47376.880188103314,74.16807887643357,192.66666666666663
2012-01-02 21:00:00,0.0,192.66666666666663,192.66666666666663,192.66666666666663,0.0,192.66666666666663,0,47469.54685476999,74.1175530078113,192.66666666666663
2012-01-02 21:15:00,167.0,192.66666666666663,200.0,192.66666666666663,0.0,359.66666666666663,0,47569.54685476999,74.06302868915417,200.0
2012-01-02 21:30:00,167.0,220.0,200.0,107.1362372567192,92.86376274328082,387.0,0,47669.54685477,74.00850437049704,200.0
2012-01-02 21:45:00,0.0,220.0,200.0,113.69509043927648,86.30490956072352,220.0,0,47769.54685477001,73.9539800518399,200.0
2012-01-02 22:00:00,0.0,0.0,0.0,200.0,0.0,0.0,0,47669.54685477,74.00850437049704,0.0
2012-01-02 22:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,47569.54685476999,74.06302868915417,0.0
2012-01-02 22:30:00,232.0,179.0,200.0,0.0,0.0,411.0,0,47669.54685477,74.00850437049704,200.0
2012-01-02 22:45:00,0.0,179.0,179.0,87.10462287104623,112.89537712895375,179.0,0,47748.54685476999,73.96543015875791,179.0
2012-01-02 23:00:00,0.0,0.0,0.0,179.0,0.0,0.0,0,47648.54685476999,74.01995447741504,0.0
2012-01-02 23:15:00,154.6,177.0,200.0,0.0,0.0,331.6,0,47748.54685476999,73.96543015875791,200.0
2012-01-02 23:30:00,154.6,177.0,200.0,106.75512665862485,93.24487334137514,331.6,0,47848.54685476999,73.91090584010078,200.0
2012-01-02 23:45:00,154.6,0.0,154.6,106.75512665862485,93.24487334137514,154.6,0,47903.146854769984,73.881135562114,154.6
2012-01-03 00:00:00,154.6,166.33333333333334,200.0,0.0,154.6,320.93333333333334,0,48003.14685476999,73.82661124345687,200.0
2012-01-03 00:15:00,154.6,166.33333333333334,200.0,103.6560033236394,96.3439966763606,320.93333333333334,0,48103.14685477,73.77208692479974,200.0
2012-01-03 00:30:00,0.0,166.33333333333334,166.33333333333334,103.6560033236394,96.3439966763606,166.33333333333334,0,48169.48018810332,73.73591912675718,166.33333333333334
2012-01-03 00:45:00,0.0,0.0,0.0,166.33333333333337,0.0,0.0,0,48069.48018810332,73.79044344541431,0.0
2012-01-03 01:00:00,149.2,170.25,200.0,0.0,0.0,319.45,0,48169.48018810332,73.73591912675718,200.0
2012-01-03 01:15:00,149.2,170.25,200.0,106.58945061825013,93.41054938174987,319.45,0,48269.48018810333,73.68139480810005,200.0
2012-01-03 01:30:00,149.2,170.25,200.0,106.58945061825013,93.41054938174987,319.45,0,48369.48018810334,73.62687048944292,200.0
2012-01-03 01:45:00,149.2,170.25,200.0,106.58945061825013,93.41054938174987,319.45,0,48469.48018810334,73.57234617078579,200.0
