date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-dump,H2_controller-0.time-based_0-desired_out,H2Buffer1-0.time-based_0-free_capacity,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-soc
2012-01-17 15:15:00,168.75,0.0,168.75,100.14792899408285,99.85207100591715,0,168.75,153162.03805926198,168.75,41.572618692974665
2012-01-17 15:30:00,0.0,0.0,0.0,0.0,168.75,0,0.0,153062.03805926195,0.0,41.61076612300848
2012-01-17 15:45:00,0.0,0.0,0.0,0.0,0.0,0,0.0,152962.03805926195,0.0,41.6489135530423
2012-01-17 16:00:00,182.66666666666663,200.3333333333333,200.0,0.0,0.0,0,383.0,153062.03805926195,200.0,41.61076612300848
2012-01-17 16:15:00,182.66666666666663,200.3333333333333,200.0,104.61270670147957,95.38729329852043,0,383.0,153162.03805926198,200.0,41.572618692974665
2012-01-17 16:30:00,182.66666666666663,200.3333333333333,200.0,104.61270670147957,95.38729329852043,0,383.0,153262.03805926195,200.0,41.53447126294085
2012-01-17 16:45:00,160.5,0.0,160.5,104.61270670147957,95.38729329852043,0,160.5,153322.53805926195,160.5,41.51139206777039
2012-01-17 17:00:00,160.5,0.0,160.5,0.0,160.5,0,160.5,153383.03805926195,160.5,41.48831287259993
2012-01-17 17:15:00,160.5,0.0,160.5,0.0,160.5,0,160.5,153443.53805926195,160.5,41.46523367742947
2012-01-17 17:30:00,160.5,147.8,200.0,0.0,160.5,0,308.3,153543.53805926195,200.0,41.42708624739565
2012-01-17 17:45:00,0.0,147.8,147.8,95.8806357444048,104.1193642555952,0,147.8,153591.33805926197,147.8,41.40885177583949
2012-01-17 18:00:00,0.0,147.8,147.8,147.8,0.0,0,147.8,153639.13805926195,147.8,41.390617304283325
2012-01-17 18:15:00,0.0,147.8,147.8,147.8,0.0,0,147.8,153686.93805926194,147.8,41.37238283272716
2012-01-17 18:30:00,253.0,147.8,200.0,147.8,0.0,0,400.8,153786.93805926194,200.0,41.33423540269335
2012-01-17 18:45:00,194.5,0.0,194.5,73.75249500998005,126.24750499001996,0,194.5,153881.43805926197,194.5,41.298186081311385
2012-01-17 19:00:00,194.5,166.0,200.0,0.0,194.5,0,360.5,153981.43805926197,200.0,41.26003865127757
2012-01-17 19:15:00,194.5,166.0,200.0,92.09431345353676,107.90568654646324,0,360.5,154081.43805926194,200.0,41.22189122124375
2012-01-17 19:30:00,194.5,0.0,194.5,92.09431345353676,107.90568654646324,0,194.5,154175.93805926194,194.5,41.18584189986179
