generation,solution,fitness
12,"[37.86558849780411, 32.90881560134316, 42.573472966545346, 56.4031002735758, 50.926078555144635]",[20.62053981456744]
13,"[34.64385766312992, 40.79991426086035, 38.4676909317243, 55.59885905924727, 54.87482004642088]",[22.31526299110696]
13,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
13,"[38.056709069564974, 32.25761302354348, 37.215122740642606, 57.10085782428815, 50.46959660795499]",[20.62053981456744]
13,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
13,"[36.64611307888691, 31.722213134816304, 39.302840891977894, 56.779142703615996, 50.69379421552545]",[18.01606113303419]
13,"[36.44682266985551, 31.270803400921736, 40.85680561698786, 55.31783141198476, 52.132171702879056]",[18.01606113303419]
13,"[37.576988412518894, 31.034876290577007, 41.863498848130455, 55.394093840362196, 51.53970898652372]",[18.4622783932396]
13,"[37.20481414977308, 30.54018551931621, 40.003637618812554, 55.70456207797037, 50.2943205423797]",[18.4622783932396]
13,"[37.24948562362837, 31.416791313252954, 39.67936264344703, 56.309260103998994, 50.96122721468262]",[18.4622783932396]
14,"[34.64385766312992, 40.79991426086035, 38.4676909317243, 55.59885905924727, 54.87482004642088]",[22.31526299110696]
14,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
14,"[38.056709069564974, 32.25761302354348, 37.215122740642606, 57.10085782428815, 50.46959660795499]",[20.62053981456744]
14,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
14,"[36.64611307888691, 31.722213134816304, 39.302840891977894, 56.779142703615996, 50.69379421552545]",[18.01606113303419]
14,"[36.44682266985551, 31.270803400921736, 40.85680561698786, 55.31783141198476, 52.132171702879056]",[18.01606113303419]
14,"[35.27941786774256, 31.503237630083802, 42.869423421748685, 54.45757324962866, 51.991725068034256]",[16.122614282752473]
14,"[36.36896967182811, 30.966392156020458, 39.95185824815741, 56.618406879801846, 51.421309830977194]",[18.01606113303419]
14,"[37.24948562362837, 31.416791313252954, 39.67936264344703, 56.309260103998994, 50.96122721468262]",[18.4622783932396]
15,"[34.14493529933299, 32.509821231991765, 41.15175251205215, 55.958285570276395, 52.413124714825145]",[20.62053981456744]
15,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
15,"[37.3247626186392, 31.15643181860577, 41.502599999233425, 54.28790884683505, 52.47262040640384]",[18.4622783932396]
15,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
15,"[36.64611307888691, 31.722213134816304, 39.302840891977894, 56.779142703615996, 50.69379421552545]",[18.01606113303419]
15,"[36.44682266985551, 31.270803400921736, 40.85680561698786, 55.31783141198476, 52.132171702879056]",[18.01606113303419]
15,"[35.27941786774256, 31.503237630083802, 42.869423421748685, 54.45757324962866, 51.991725068034256]",[16.122614282752473]
15,"[36.36896967182811, 30.966392156020458, 39.95185824815741, 56.618406879801846, 51.421309830977194]",[18.01606113303419]
15,"[37.24948562362837, 31.416791313252954, 39.67936264344703, 56.309260103998994, 50.96122721468262]",[18.4622783932396]
16,"[34.14493529933299, 32.509821231991765, 41.15175251205215, 55.958285570276395, 52.413124714825145]",[20.62053981456744]
16,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
16,"[37.3247626186392, 31.15643181860577, 41.502599999233425, 54.28790884683505, 52.47262040640384]",[18.4622783932396]
16,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
16,"[36.64611307888691, 31.722213134816304, 39.302840891977894, 56.779142703615996, 50.69379421552545]",[18.01606113303419]
16,"[36.44682266985551, 31.270803400921736, 40.85680561698786, 55.31783141198476, 52.132171702879056]",[18.01606113303419]
16,"[35.27941786774256, 31.503237630083802, 42.869423421748685, 54.45757324962866, 51.991725068034256]",[16.122614282752473]
16,"[34.85085604209498, 30.97107326991109, 42.952456908970596, 54.46570488357368, 51.78872653157382]",[14.945600464436716]
16,"[37.24948562362837, 31.416791313252954, 39.67936264344703, 56.309260103998994, 50.96122721468262]",[18.4622783932396]
17,"[34.14493529933299, 32.509821231991765, 41.15175251205215, 55.958285570276395, 52.413124714825145]",[20.62053981456744]
17,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
17,"[37.3247626186392, 31.15643181860577, 41.502599999233425, 54.28790884683505, 52.47262040640384]",[18.4622783932396]
17,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
17,"[36.64611307888691, 31.722213134816304, 39.302840891977894, 56.779142703615996, 50.69379421552545]",[18.01606113303419]
17,"[35.02012117002471, 31.174071787738303, 42.50308544211126, 54.783101531046164, 51.62060264433994]",[16.122614282752473]
17,"[35.27941786774256, 31.503237630083802, 42.869423421748685, 54.45757324962866, 51.991725068034256]",[16.122614282752473]
17,"[34.85085604209498, 30.97107326991109, 42.952456908970596, 54.46570488357368, 51.78872653157382]",[14.945600464436716]
17,"[37.24948562362837, 31.416791313252954, 39.67936264344703, 56.309260103998994, 50.96122721468262]",[18.4622783932396]
18,"[34.14493529933299, 32.509821231991765, 41.15175251205215, 55.958285570276395, 52.413124714825145]",[20.62053981456744]
