generation,solution,fitness
5,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
5,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 49.68358862253255]",[20.907611471618385]
5,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 54.23376634757333]",[22.488645431799306]
5,"[39.49964033499766, 30.95160043538567, 40.784357476539874, 60.28832773847346, 54.23376634757333]",[22.488645431799306]
5,"[39.49964033499766, 30.951680698438427, 40.784357476539874, 60.01187551293401, 57.19449117944613]",[22.488645431799306]
5,"[39.85485301008037, 30.976454407837743, 40.784357476539874, 60.28254594328646, 54.29938798337213]",[22.488645431799306]
5,"[39.80084135139484, 30.976374144784987, 40.784357476539874, 60.28195075846003, 54.23376634757333]",[22.488645431799306]
5,"[33.01572454245677, 56.91303777026127, 25.225933074142485, 57.95151211346005, 39.33362158224506]",[24.807027022987903]
5,"[33.01662444410433, 55.12005677668523, 25.225933074142485, 53.328049364942785, 39.33362158224506]",[24.807027022987903]
6,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
6,"[39.49964033499766, 30.976453526297576, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
6,"[39.49964033499766, 30.975962442720228, 40.784357476539874, 59.90965380603675, 50.05564173461842]",[19.764888115785787]
6,"[40.4033373293518, 30.976454407837743, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
6,"[39.80593571578286, 32.22097629058278, 40.784357476539874, 60.01187551293401, 52.9864183334342]",[20.62053981456744]
6,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 49.68358862253255]",[20.907611471618385]
6,"[39.49964033499766, 30.976454407837743, 39.151975941898684, 61.9044535842352, 49.68358862253255]",[20.907611471618385]
6,"[39.49964033499766, 30.952092400503187, 40.784357476539874, 60.282629167058474, 49.68358862253255]",[20.907611471618385]
6,"[38.67220001335193, 26.82762259433386, 40.784357476539874, 60.28254594328646, 49.48837330663996]",[20.907611471618385]
7,"[39.49964033499766, 30.976454407837743, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
7,"[39.49964033499766, 30.976453526297576, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
7,"[39.49964033499766, 30.975962442720228, 40.784357476539874, 59.90965380603675, 50.05564173461842]",[19.764888115785787]
7,"[40.4033373293518, 30.976454407837743, 40.784357476539874, 60.28254594328646, 50.13236634110039]",[19.764888115785787]
7,"[39.49964033499766, 30.952079639730254, 40.784357476539874, 61.41186633140405, 50.04475639993266]",[19.764888115785787]
7,"[40.58951752847557, 30.976454407837743, 40.784357476539874, 60.97649690963267, 50.13236634110039]",[19.764888115785787]
7,"[40.067834549629666, 29.54902882464138, 40.784357476539874, 59.180194515993556, 50.13236634110039]",[19.764888115785787]
7,"[39.069657971272854, 30.975962442720228, 40.60989221446483, 59.90965380603675, 50.05564173461842]",[19.764888115785787]
7,"[39.80593571578286, 32.22097629058278, 40.784357476539874, 60.01187551293401, 52.9864183334342]",[20.62053981456744]
