date,Wind-0.wind_0-wind_gen,PV-0.pv_0-pv_gen,Load-0.load_0-load_dem,Controller-0.ctrl_0-flow2b,Controller-0.ctrl_0-flow2e,Controller-0.ctrl_0-dump,Electrolyser-0.electro_0-h2_gen,Battery-0.Battery_0-p_out,Battery-0.Battery_0-p_in,Battery-0.Battery_0-mod,Battery-0.Battery_0-flag,Battery-0.Battery_0-soc,H2storage-0.h2storage_0-h2_given,H2storage-0.h2storage_0-h2_stored,H2storage-0.h2storage_0-h2_soc,Fuelcell-0.fc_0-fc_gen
2012-06-16 05:15:00,17.546446,17.983301810222876,16.42061900748253,16.857474817705405,0,0,0,16.857474817705405,16.857474817705405,1,0,10.782,0,0,50.16,0.0
2012-06-16 05:30:00,16.39287025,32.26509078630963,11.684112496233574,27.5563330325432,0,0,0,27.5563330325432,27.5563330325432,1,0,11.557,0,0,50.16,0.0
2012-06-16 05:45:00,27.45556975,161.0163312047898,13.918330516682275,147.4790919714721,0,0,0,147.4790919714721,147.4790919714721,1,0,15.705,0,0,50.16,0.0
2012-06-16 06:00:00,44.755831,63.81294816657672,8.289577138119084,27.346694304695802,0,0,0,27.346694304695802,27.346694304695802,1,0,16.474,0,0,50.16,0.0
2012-06-16 06:15:00,45.628274,232.57187940051756,5.593533097076465,192.53713849759401,0,0,0,192.53713849759401,192.53713849759401,1,0,21.889,0,0,50.16,0.0
2012-06-16 06:30:00,42.5834125,214.6466217845853,3.2332719217533676,175.29648120633865,0,0,0,175.29648120633865,175.29648120633865,1,0,26.819,0,0,50.16,0.0
2012-06-16 06:45:00,54.252253,61.83410412126779,2.930359567901076,10.51221068916886,0,0,0,10.51221068916886,10.51221068916886,1,0,27.115,0,0,50.16,0.0
2012-06-16 07:00:00,56.89418375,214.84342360769452,2.493573985578409,160.44281384327294,0,0,0,160.44281384327294,160.44281384327294,1,0,31.627,0,0,50.16,0.0
2012-06-16 07:15:00,57.14775575,75.09047424349112,2.7660797059098057,20.708798199400917,0,0,0,20.708798199400917,20.708798199400917,1,0,32.209,0,0,50.16,0.0
2012-06-16 07:30:00,43.74232375,60.80072692618111,4.185587877358851,21.243991053539972,0,0,0,21.243991053539972,21.243991053539972,1,0,32.806,0,0,50.16,0.0
2012-06-16 07:45:00,28.78976525,298.4483460606098,6.544704998982271,276.2032858095921,0,0,0,276.2032858095921,276.2032858095921,1,0,40.574,0,0,50.16,0.0
2012-06-16 08:00:00,15.7221185,102.465815087838,3.4386202858029766,90.18231687364099,0,0,0,90.18231687364099,90.18231687364099,1,0,43.11,0,0,50.16,0.0
2012-06-16 08:15:00,14.55564425,147.1172660458194,4.596555499971091,137.1581772957905,0,0,0,137.1581772957905,137.1581772957905,1,0,46.968,0,0,50.16,0.0
2012-06-16 08:30:00,27.25073875,375.18079808422715,6.332461105876561,354.26252044010374,0,0,0,354.26252044010374,354.26252044010374,1,0,56.932,0,0,50.16,0.0
2012-06-16 08:45:00,15.604157,52.14908285674635,4.596555499971091,41.141481356717435,0,0,0,41.141481356717435,41.141481356717435,1,0,58.089,0,0,50.16,0.0
2012-06-16 09:00:00,135.1883765,180.33247118094073,7.058269340208054,52.20236402114878,0,0,0,52.20236402114878,52.20236402114878,1,0,59.557,0,0,50.16,0.0
2012-06-16 09:15:00,47.7827065,274.7437344282811,9.796072112560973,236.75710004084203,0,0,0,236.75710004084203,236.75710004084203,1,0,66.216,0,0,50.16,0.0
2012-06-16 09:30:00,35.19933775,140.88121904776577,10.662783622193617,116.34466491995938,0,0,0,116.34466491995938,116.34466491995938,1,0,69.488,0,0,50.16,0.0
2012-06-16 09:45:00,43.55259975,320.16897714170864,10.812027276391804,287.4284046681004,0,0,0,287.4284046681004,287.4284046681004,1,0,77.572,0,0,50.16,0.0
2012-06-16 10:00:00,88.20747924999999,227.55327589001712,8.373592486581403,147.71938912659851,0,0,0,147.71938912659851,147.71938912659851,1,0,81.727,0,0,50.16,0.0
2012-06-16 10:15:00,88.91435025,210.56929032394999,8.289577138119084,129.94451721206906,0,0,0,129.94451721206906,129.94451721206906,1,0,85.382,0,0,50.16,0.0
2012-06-16 10:30:00,70.66399725,290.79710393170234,6.580533596662637,226.71364027836498,0,0,0,164.1955555555554,226.71364027836498,1,1,90,0,0,50.16,0.0
2012-06-16 10:45:00,147.45001775,360.1439395206472,5.4974630812182665,0,218.19138485186548,0,0.8304367152701145,0,0,0,1,90,0,0.8304367152701145,50.162,0.0
2012-06-16 11:00:00,109.71745675,205.00359680238583,5.03358025576729,0,100.31972030815311,0,0.38181699550639714,0,0,0,1,90,0,0.38181699550639714,50.163,0.0
2012-06-16 11:15:00,199.058842,185.733249084796,3.5089535430655467,-9.81663937213844,0,0,0,-9.81663937213844,-9.81663937213844,-1,0,89.659,0,0,50.163,0.0
2012-06-16 11:30:00,212.916021,430.4503129172064,5.308635722745169,222.8429276399516,0,0,0,12.12444444444423,222.8429276399516,1,1,90,0,0,50.163,0.0
2012-06-16 11:45:00,226.15530074999998,440.63084819341657,5.339801802250074,0,219.81534924566665,0,0.8366175260194458,0,0,0,1,90,0,0.8366175260194458,50.165,0.0
2012-06-16 12:00:00,71.705546,220.07304131297968,4.568355851839587,0,152.93585116481927,0,0.5820740629818033,0,0,0,1,90,0,0.5820740629818033,50.166,0.0
2012-06-16 12:15:00,60.900116,248.4554747114815,3.6042141186829912,0,191.15957283016448,0,0.7275536009879392,0,0,0,1,90,0,0.7275536009879392,50.167,0.0
2012-06-16 12:30:00,57.78304925,157.77779324540293,2.364303986208444,0,102.35904798161138,0,0.38957867947781466,0,0,0,1,90,0,0.38957867947781466,50.168,0.0
2012-06-16 12:45:00,119.60180249999999,130.44894357367957,3.4153864437905477,0,14.262527517470119,0,0.05428319963732172,0,0,0,1,90,0,0.05428319963732172,50.168,0.0
2012-06-16 13:00:00,141.84574625,112.60208834481635,5.003618547399982,-24.240039357783658,0,0,0,-24.240039357783658,-24.240039357783658,-1,0,89.158,0,0,50.168,0.0
2012-06-16 13:15:00,86.67810924999999,160.6995132980832,3.6042141186829912,77.62561816676619,0,0,0,29.937777777777736,77.62561816676619,1,1,90,0,0,50.168,0.0
2012-06-16 13:30:00,78.67385825000001,178.44149786707897,0,0,99.76763961707896,0,0.3797157756256445,0,0,0,1,90,0,0.3797157756256445,50.169,0.0
2012-06-16 13:45:00,67.03434299999999,216.7740711910918,3.2332719217533676,0,152.97300011284517,0,0.5822154519298377,0,0,0,1,90,0,0.5822154519298377,50.17,0.0
2012-06-16 14:00:00,141.86540725,491.3782984674485,2.1193227146755467,0,351.63221393212405,0,1.338312696989396,0,0,0,1,90,0,1.338312696989396,50.173,0.0
2012-06-16 14:15:00,365.72326975000004,335.97332234535713,2.745987196064554,-27.00396020857835,0,0,0,-27.00396020857835,-27.00396020857835,-1,0,89.062,0,0,50.173,0.0
2012-06-16 14:30:00,511.39032675,158.18345281797184,0,-353.20687393202815,0,0,0,-353.20687393202815,-353.20687393202815,-1,0,76.798,0,0,50.173,0.0
2012-06-16 14:45:00,623.7426915000001,153.92575355918265,2.4376105965176187,-467.3793273442998,0,0,0,-467.3793273442998,-467.3793273442998,-1,0,60.57,0,0,50.173,0.0
2012-06-16 15:00:00,397.13037825000004,510.5430191769559,0,113.41264092695587,0,0,0,113.41264092695587,113.41264092695587,1,0,63.76,0,0,50.173,0.0
2012-06-16 15:15:00,343.1417195,102.25823397594361,0,-240.88348552405643,0,0,0,-240.88348552405643,-240.88348552405643,-1,0,55.396,0,0,50.173,0.0
2012-06-16 15:30:00,284.06734525,93.10375251472497,0,-190.96359273527503,0,0,0,-190.96359273527503,-190.96359273527503,-1,0,48.765,0,0,50.173,0.0
2012-06-16 15:45:00,191.08058824999998,438.89380581426406,0,247.81321756426408,0,0,0,247.81321756426408,247.81321756426408,1,0,55.735,0,0,50.173,0.0
2012-06-16 16:00:00,201.76557175000002,147.10632123854478,0,-54.65925051145524,0,0,0,-54.65925051145524,-54.65925051145524,-1,0,53.837,0,0,50.173,0.0
2012-06-16 16:15:00,179.20532275,116.12501305056625,0,-63.08030969943374,0,0,0,-63.08030969943374,-63.08030969943374,-1,0,51.647,0,0,50.173,0.0
2012-06-16 16:30:00,84.9842085,478.7827520073255,0,393.79854350732546,0,0,0,393.79854350732546,393.79854350732546,1,0,62.723,0,0,50.173,0.0
2012-06-16 16:45:00,191.341707,89.76007264488474,0,-101.58163435511527,0,0,0,-101.58163435511527,-101.58163435511527,-1,0,59.196,0,0,50.173,0.0
2012-06-16 17:00:00,193.63426349999997,81.2310674161908,0,-112.40319608380918,0,0,0,-112.40319608380918,-112.40319608380918,-1,0,55.293,0,0,50.173,0.0
2012-06-16 17:15:00,194.08729325,441.91272331684894,0,247.82543006684895,0,0,0,247.82543006684895,247.82543006684895,1,0,62.263,0,0,50.173,0.0
2012-06-16 17:30:00,69.8813545,90.86086980911833,0,20.979515309118327,0,0,0,20.979515309118327,20.979515309118327,1,0,62.853,0,0,50.173,0.0
2012-06-16 17:45:00,139.6419485,161.52035654088192,0,21.878408040881908,0,0,0,21.878408040881908,21.878408040881908,1,0,63.468,0,0,50.173,0.0
2012-06-16 18:00:00,134.28408475,278.79801240318886,2.909478224625009,147.42340587781385,0,0,0,147.42340587781385,147.42340587781385,1,0,67.614,0,0,50.173,0.0
2012-06-16 18:15:00,75.632919,86.27966413636722,4.159096893698424,14.805842030065634,0,0,0,14.805842030065634,14.805842030065634,1,0,68.03,0,0,50.173,0.0
2012-06-16 18:30:00,79.67725725,402.42452504171064,5.371089624098544,328.1183574158092,0,0,0,328.1183574158092,328.1183574158092,1,0,77.258,0,0,50.173,0.0
2012-06-16 18:45:00,104.119157,141.9451829724596,6.798254471341684,44.6242804438013,0,0,0,44.6242804438013,44.6242804438013,1,0,78.513,0,0,50.173,0.0
2012-06-16 19:00:00,184.545619,47.010327416081985,7.36345042077472,-130.17184116314328,0,0,0,-130.17184116314328,-130.17184116314328,-1,0,73.993,0,0,50.173,0.0
2012-06-16 19:15:00,184.0086185,218.76726086315682,8.715330443506817,43.473972806663625,0,0,0,43.473972806663625,43.473972806663625,1,0,75.216,0,0,50.173,0.0
2012-06-16 19:30:00,108.74705125,50.02241628448896,12.880667126718144,-45.84396783879289,0,0,0,-45.84396783879289,-45.84396783879289,-1,0,73.624,0,0,50.173,0.0
2012-06-16 19:45:00,105.540012,27.231518641684488,13.220608771013502,-65.08788458730201,0,0,0,-65.08788458730201,-65.08788458730201,-1,0,71.364,0,0,50.173,0.0
2012-06-16 20:00:00,111.81997125,314.2458897765974,11.21680451046161,213.642723037059,0,0,0,213.642723037059,213.642723037059,1,0,77.373,0,0,50.173,0.0
2012-06-16 20:15:00,82.54109475,22.614878686645632,8.123236120504737,-51.80297994284963,0,0,0,-51.80297994284963,-51.80297994284963,-1,0,75.574,0,0,50.173,0.0
2012-06-16 20:30:00,103.789323,12.219975078079294,8.75869021715797,-82.81065770476273,0,0,0,-82.81065770476273,-82.81065770476273,-1,0,72.699,0,0,50.173,0.0
2012-06-16 20:45:00,53.41803925,29.372259651469125,11.631560345042526,-12.414219253488348,0,0,0,-12.414219253488348,-12.414219253488348,-1,0,72.268,0,0,50.173,0.0
2012-06-16 21:00:00,87.89445425000001,2.046797142157048,12.768661955703468,-73.0789951521395,0,0,0,-73.0789951521395,-73.0789951521395,-1,0,69.731,0,0,50.173,0.0
2012-06-16 21:15:00,112.978755,0.0,12.056416285163591,-100.92233871483641,0,0,0,-100.92233871483641,-100.92233871483641,-1,0,66.227,0,0,50.173,0.0
2012-06-16 21:30:00,73.12731699999999,0.0,10.465937248222264,-62.66137975177773,0,0,0,-62.66137975177773,-62.66137975177773,-1,0,64.051,0,0,50.173,0.0
