date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-dump,H2_controller-0.time-based_0-desired_out,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-free_capacity,H2Buffer1-0.time-based_0-soc
2012-01-05 02:00:00,104.0,100.14285714285714,200.0,98.110566829951,101.889433170049,0.0,204.1428571428572,200.0,28109.36029627362,0.801655988122511
2012-01-05 02:15:00,104.0,100.14285714285714,200.0,98.110566829951,101.889433170049,0.0,204.1428571428572,200.0,28211.36029627361,0.4416964948233038
2012-01-05 02:30:00,0.0,100.14285714285714,100.14285714285714,98.110566829951,101.889433170049,0.0,100.14285714285714,100.14285714285714,28228.50315341647,0.3811991009915043
2012-01-05 02:45:00,0.0,0.0,0.0,100.14285714285714,0.0,0.0,0.0,0.0,28138.50315341648,0.6988104186084518
2012-01-05 03:00:00,95.375,103.71428571428572,199.0892857142857,0.0,0.0,0.0,199.0892857142857,199.0892857142857,28242.59243913076,0.331477805435994
2012-01-05 03:15:00,95.375,103.71428571428572,182.92928033257084,103.71428571428572,95.375,0.0,182.92928033257084,182.92928033257084,28336.52171946333,0.0
2012-01-05 03:30:00,95.375,103.71428571428572,84.0,95.2958346193893,87.63344571318153,0.0,84.0,84.0,28336.52171946333,0.0
2012-01-05 03:45:00,95.375,103.71428571428572,97.0,43.7592609202619,40.24073907973809,0.0,97.0,97.0,28336.52171946333,0.0
2012-01-05 04:00:00,95.375,103.71428571428572,97.0,50.53152749125481,46.46847250874518,0.0,97.0,97.0,28336.52171946333,0.0
2012-01-05 04:15:00,95.375,103.71428571428572,80.0,50.53152749125481,46.46847250874518,0.0,80.0,80.0,28336.52171946333,0.0
2012-01-05 04:30:00,95.375,103.71428571428572,88.0,41.67548659072562,38.32451340927437,0.0,88.0,88.0,28336.52171946333,0.0
2012-01-05 04:45:00,95.375,0.0,91.0,45.84303524979818,42.15696475020181,0.0,91.0,91.0,28336.52171946333,0.0
2012-01-05 05:00:00,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,28243.52171946333,0.3281983615375125
2012-01-05 05:15:00,0.0,104.0,104.0,0.0,0.0,0.0,104.0,104.0,28250.52171946333,0.3034952590561943
2012-01-05 05:30:00,0.0,104.0,104.0,104.0,0.0,0.0,104.0,104.0,28263.52171946333,0.2576180687337464
2012-01-05 05:45:00,117.0,0.0,117.0,104.0,0.0,0.0,117.0,117.0,28283.52171946333,0.1870377759299802
