date,PV1-0.time-based_0-pv_gen,PV2-0.time-based_0-pv_gen,PV3-0.time-based_0-pv_gen,PV4-0.time-based_0-pv_gen,PV5-0.time-based_0-pv_gen,Load1-0.time-based_0-load_dem,Load2-0.time-based_0-load_dem,Load3-0.time-based_0-load_dem,Load4-0.time-based_0-load_dem,Load5-0.time-based_0-load_dem,CSV_EV_presence-0.time-based_0-ev5,CSV_EV_presence-0.time-based_0-ev1,CSV_EV_presence-0.time-based_0-ev3,CSV_EV_presence-0.time-based_0-ev4,CSV_EV_presence-0.time-based_0-ev2,EV1-0.time-based_0-demand,EV2-0.time-based_0-demand,EV3-0.time-based_0-demand,EV4-0.time-based_0-demand,EV5-0.time-based_0-demand,Battery1-0.time-based_0-soc,Battery1-0.time-based_0-p_out,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-dump,Controller1-0.time-based_0-res_load,CSV_cost-0.time-based_0-Price_Surplus,CSV_cost-0.time-based_0-Price_Shortage
2007-01-01 10:30:00,1.3140136718544229,1.3140136718544229,1.3140136718544229,1.3140136718544229,1.3140136718544229,2.590533333,2.601854806,2.503445855,2.576624316,2.504913315,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-6.207303265727886,6.207303265727886,-0.05,-0.05
2007-01-01 10:45:00,1.3480916025306462,1.3480916025306462,1.3480916025306462,1.3480916025306462,1.3480916025306462,2.567866667,2.450734689,2.539315081,2.452563557,2.55419476,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-5.824216741346768,5.824216741346768,-0.05,-0.05
2007-01-01 11:00:00,1.8997361324219348,1.8997361324219348,1.8997361324219348,1.8997361324219348,1.8997361324219348,2.603733333,2.668841106,2.597210946,2.517091328,2.665901291,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-3.5540973418903263,3.5540973418903263,-0.04604,-0.04604
2007-01-01 11:15:00,1.9335549200495243,1.9335549200495243,1.9335549200495243,1.9335549200495243,1.9335549200495243,2.554266667,2.615419486,2.47587645,2.499684646,2.585433588,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-3.0629062367523794,3.0629062367523794,-0.2075,-0.2075
2007-01-01 11:30:00,2.4496612594036935,2.4496612594036935,2.4496612594036935,2.4496612594036935,2.4496612594036935,2.582266667,2.493079301,2.543783633,2.568215907,2.453670865,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-0.3927100759815314,0.3927100759815314,-0.2075,-0.2075
2007-01-01 11:45:00,2.3114732419061697,2.3114732419061697,2.3114732419061697,2.3114732419061697,2.3114732419061697,2.563733333,2.609339969,2.550989555,2.633747658,2.550284627,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-1.3507289324691527,1.3507289324691527,-0.17,-0.17
2007-01-01 12:00:00,1.7608163925094813,1.7608163925094813,1.7608163925094813,1.7608163925094813,1.7608163925094813,2.538933333,2.564120312,2.623639437,2.437642602,2.622426335,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-3.982680056452594,3.982680056452594,-0.04062,-0.04062
2007-01-01 12:15:00,2.6777557173197053,2.6777557173197053,2.6777557173197053,2.6777557173197053,2.6777557173197053,2.6316,2.579612555,2.685250315,2.727904609,2.649239451,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0.1151716565985268,-0.0,-0.1151716565985268,-0.02562,-0.02562
2007-01-01 12:30:00,2.242354924970001,2.242354924970001,2.242354924970001,2.242354924970001,2.242354924970001,2.626666667,2.736514493,2.646241975,2.570963653,2.612566491,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.026,0.1151716565985268,0,-1.9811786541499945,1.9811786541499945,0.02732,0.02732
2007-01-01 12:45:00,2.2768907908108216,2.2768907908108216,2.2768907908108216,2.2768907908108216,2.2768907908108216,2.666266667,2.570446358,2.694029744,2.557579033,2.747142458,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.026,0,0,-1.851010305945893,1.851010305945893,-0.06062,-0.06062
2007-01-01 13:00:00,2.655361508589294,2.655361508589294,2.655361508589294,2.655361508589294,2.655361508589294,2.594,2.679072982,2.513836883,2.530481368,2.468807689,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.026,0,0.4906086209464693,-0.0,-0.4906086209464693,-0.14,-0.14
2007-01-01 13:15:00,2.946104025810369,2.946104025810369,2.946104025810369,2.946104025810369,2.946104025810369,2.568666667,2.520973624,2.44844031,2.543782501,2.647415765,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.136,0.4906086209464693,2.0012412620518454,-0.0,-2.0012412620518454,-0.01562,-0.01562
2007-01-01 13:30:00,2.5739805137263527,2.5739805137263527,2.5739805137263527,2.5739805137263527,2.5739805137263527,2.636533333,2.680089706,2.651999134,2.675900046,2.507182859,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.586,2.0012412620518454,0,-0.28180250936823725,0.28180250936823725,-0.01562,-0.01562
2007-01-01 13:45:00,1.7601233032753405,1.7601233032753405,1.7601233032753405,1.7601233032753405,1.7601233032753405,0.8504,0.884013707,0.855924189,0.892107959,0.850965623,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.586,0,4.467205038376703,-0.0,-4.467205038376703,0.03,0.03
2007-01-01 14:00:00,2.2083066269342404,2.2083066269342404,2.2083066269342404,2.2083066269342404,2.2083066269342404,0.788133333,0.791737713,0.777980451,0.793809563,0.816246322,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,51.591,4.467205038376703,7.073625752671202,-0.0,-7.073625752671202,-0.12746,0.06486
2007-01-01 14:15:00,2.720325325964726,2.720325325964726,2.720325325964726,2.720325325964726,2.720325325964726,0.538666667,0.519294267,0.521342557,0.522510974,0.512714623,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,53.183,7.073625752671202,10.98709754182363,-0.0,-10.98709754182363,-0.01419,-0.01419
2007-01-01 14:30:00,2.310501175882655,2.310501175882655,2.310501175882655,2.310501175882655,2.310501175882655,1.426933333,1.476969257,1.489585207,1.422595337,1.436131935,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,55.655,10.98709754182363,4.3002908104132755,-0.0,-4.3002908104132755,0.08508,0.08508
