date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-desired_out,H2_controller-0.time-based_0-dump,H2Buffer1-0.time-based_0-soc,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-free_capacity
2012-01-24 07:00:00,0.0,148.33333333333334,148.33333333333334,168.0,0.0,148.33333333333334,0,26.39873463884408,148.33333333333334,192938.98817341428
2012-01-24 07:15:00,0.0,148.33333333333334,148.33333333333334,148.33333333333334,0.0,148.33333333333334,0,26.38029671436788,148.33333333333334,192987.32150674768
2012-01-24 07:30:00,203.5,148.33333333333334,200.0,148.33333333333334,0.0,351.83333333333337,0,26.34214928441712,200.0,193087.32150674763
2012-01-24 07:45:00,203.5,0.0,200.0,84.32022738038843,115.67977261961155,203.5,0,26.30400185446636,200.0,193187.3215067476
2012-01-24 08:00:00,0.0,161.75,161.75,0.0,200.0,161.75,0,26.280445816471765,161.75,193249.07150674763
2012-01-24 08:15:00,0.0,161.75,161.75,161.75,0.0,161.75,0,26.25688977847717,161.75,193310.8215067476
2012-01-24 08:30:00,0.0,161.75,161.75,161.75,0.0,161.75,0,26.23333374048257,161.75,193372.57150674763
2012-01-24 08:45:00,157.25,161.75,200.0,161.75,0.0,319.0,0,26.195186310531817,200.0,193472.5715067476
2012-01-24 09:00:00,157.25,0.0,157.25,101.41065830721004,98.58934169278996,157.25,0,26.17334690688501,157.25,193529.82150674768
2012-01-24 09:15:00,157.25,0.0,157.25,0.0,157.25,157.25,0,26.1515075032382,157.25,193587.07150674763
2012-01-24 09:30:00,157.25,207.3333333333333,200.0,0.0,157.25,364.58333333333337,0,26.11336007328744,200.0,193687.07150674763
2012-01-24 09:45:00,169.33333333333334,207.3333333333333,200.0,113.73714285714284,86.26285714285713,376.6666666666667,0,26.075212643336684,200.0,193787.07150674763
2012-01-24 10:00:00,169.33333333333334,207.3333333333333,200.0,110.08849557522124,89.91150442477877,376.6666666666667,0,26.03706521338593,200.0,193887.0715067476
2012-01-24 10:15:00,169.33333333333334,0.0,169.33333333333334,110.08849557522124,89.91150442477877,169.33333333333334,0,26.010616328620067,169.33333333333334,193956.4048400809
2012-01-24 10:30:00,0.0,199.3333333333333,199.3333333333333,0.0,169.33333333333337,199.3333333333333,0,25.97272321486898,199.3333333333333,194055.73817341428
2012-01-24 10:45:00,0.0,199.3333333333333,199.3333333333333,199.33333333333337,0.0,199.3333333333333,0,25.934830101117896,199.3333333333333,194155.0715067476
2012-01-24 11:00:00,190.25,199.3333333333333,200.0,199.33333333333337,0.0,389.58333333333337,0,25.89668267116713,200.0,194255.0715067476
2012-01-24 11:15:00,190.25,0.0,190.25,102.33155080213902,97.66844919786097,190.25,0,25.86225461563658,190.25,194345.32150674763
2012-01-24 11:30:00,190.25,0.0,190.25,0.0,190.25,190.25,0,25.827826560106026,190.25,194435.57150674763
2012-01-24 11:45:00,190.25,203.0,200.0,0.0,190.25,393.25,0,25.789679130155264,200.0,194535.5715067476
2012-01-24 12:00:00,0.0,203.0,200.0,103.24221233312144,96.75778766687858,203.0,0,25.751531700204502,200.0,194635.5715067476
2012-01-24 12:15:00,0.0,203.0,200.0,200.0,0.0,203.0,0,25.713384270253748,200.0,194735.5715067476
2012-01-24 12:30:00,182.66666666666663,0.0,182.66666666666663,200.0,0.0,182.66666666666663,0,25.681849061494454,182.66666666666663,194818.23817341423
2012-01-24 12:45:00,182.66666666666663,0.0,182.66666666666663,0.0,182.66666666666663,182.66666666666663,0,25.65031385273516,182.66666666666663,194900.9048400809
2012-01-24 13:00:00,182.66666666666663,0.0,182.66666666666663,0.0,182.66666666666663,182.66666666666663,0,25.618778643975865,182.66666666666663,194983.5715067476
2012-01-24 13:15:00,183.75,185.0,200.0,0.0,182.66666666666663,368.75,0,25.580631214025107,200.0,195083.5715067476
2012-01-24 13:30:00,183.75,185.0,200.0,100.33898305084745,99.66101694915255,368.75,0,25.54248378407435,200.0,195183.5715067476
