date,GPController-0.gpctrl_0-demand[0],GPController-0.gpctrl_1-demand[0],GPController-0.gpctrl_2-demand[0],GPController-0.gpctrl_3-demand[0],GPController-0.gpctrl_4-demand[0],GPController-0.gpctrl_5-demand[0],GPController-0.gpctrl_0-generator[0],GPController-0.gpctrl_1-generator[0],GPController-0.gpctrl_2-generator[0],GPController-0.gpctrl_3-generator[0],GPController-0.gpctrl_4-generator[0],GPController-0.gpctrl_5-generator[0],GPController-0.gpctrl_0-generator[1],GPController-0.gpctrl_2-generator[1],GPController-0.gpctrl_4-generator[1],GPController-0.gpctrl_0-net,GPController-0.gpctrl_1-net,GPController-0.gpctrl_2-net,GPController-0.gpctrl_3-net,GPController-0.gpctrl_4-net,GPController-0.gpctrl_5-net,GPController-0.gpctrl_0-excess,GPController-0.gpctrl_1-excess,GPController-0.gpctrl_2-excess,GPController-0.gpctrl_3-excess,GPController-0.gpctrl_4-excess,GPController-0.gpctrl_5-excess,GPController-0.gpctrl_0-deficit,GPController-0.gpctrl_1-deficit,GPController-0.gpctrl_2-deficit,GPController-0.gpctrl_3-deficit,GPController-0.gpctrl_4-deficit,GPController-0.gpctrl_5-deficit,Battery-0.Battery_0-soc,Battery-0.Battery_0-flow2b,GPController-0.gpctrl_2-storage[0],GPController-0.gpctrl_2-flow2b[0],RTprice-0.rtprice_0-buy_price,RTprice-0.rtprice_0-sell_price,Prosumer-0.prosumer_s1_0-rt_buy,Prosumer-0.prosumer_s1_1-rt_buy,Prosumer-0.prosumer_s1_2-rt_buy,Prosumer-0.prosumer_s1_3-rt_buy,Prosumer-0.prosumer_s1_4-rt_buy,Prosumer-0.prosumer_s1_5-rt_buy,Prosumer-0.prosumer_s1_0-rt_sell,Prosumer-0.prosumer_s1_1-rt_sell,Prosumer-0.prosumer_s1_2-rt_sell,Prosumer-0.prosumer_s1_3-rt_sell,Prosumer-0.prosumer_s1_4-rt_sell,Prosumer-0.prosumer_s1_5-rt_sell,Emarket-0.emarket_0-market_price,Emarket-0.emarket_0-market_quantity,Prosumer-0.prosumer_s1_0-p2em,Prosumer-0.prosumer_s1_1-p2em,Prosumer-0.prosumer_s1_2-p2em,Prosumer-0.prosumer_s1_3-p2em,Prosumer-0.prosumer_s1_4-p2em,Prosumer-0.prosumer_s1_5-p2em,P2Ptrading-0.p2ptrading_0-quantity_traded,Prosumer-0.prosumer_s1_0-p2p2p,Prosumer-0.prosumer_s1_1-p2p2p,Prosumer-0.prosumer_s1_2-p2p2p,Prosumer-0.prosumer_s1_3-p2p2p,Prosumer-0.prosumer_s1_4-p2p2p,Prosumer-0.prosumer_s1_5-p2p2p,Wind-0.wind_0-wind_gen,Wind-0.wind_1-wind_gen,Wind-0.wind_2-wind_gen,PV-0.pv_0-pv_gen,PV-0.pv_1-pv_gen,PV-0.pv_2-pv_gen,PV-0.pv_3-pv_gen,PV-0.pv_4-pv_gen,PV-0.pv_5-pv_gen,Load-0.load_0-load_dem,Load-0.load_1-load_dem,Load-0.load_2-load_dem,Load-0.load_3-load_dem,Load-0.load_4-load_dem,Load-0.load_5-load_dem
2012-04-15 12:30:00,216.41656724999999,216.41656724999999,216.41656724999999,216.41656724999999,216.41656724999999,216.41656724999999,16.223310621712884,204.33028980400618,16.223310621712884,204.33028980400618,16.223310621712884,204.33028980400618,204.33028980400618,204.33028980400618,204.33028980400618,4.137033175719097,-12.086277445993801,4.137033175719097,-12.086277445993801,4.137033175719097,-12.086277445993801,4.137033175719097,0,0,0,4.137033175719097,0,0,-12.086277445993801,0,-12.086277445993801,0,-12.086277445993801,20,,20,4.137033175719097,0.47253260607987824,0.23626630303993912,0.0,-12.0862774459938,0,-3.81221,0.0,-12.0862774459938,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8.274066351438051,4.137033175719026,0,0,-4.137033175719026,4.137033175719026,0,216.41656724999999,216.41656724999999,216.41656724999999,216.41656724999999,216.41656724999999,216.41656724999999,16.223310621712884,16.223310621712884,16.223310621712884,204.33028980400618,204.33028980400618,204.33028980400618,204.33028980400618,204.33028980400618,204.33028980400618
2012-04-15 12:45:00,246.89445874999998,246.89445874999998,246.89445874999998,246.89445874999998,246.89445874999998,246.89445874999998,18.625666961216446,155.16267721708928,18.625666961216446,155.16267721708928,18.625666961216446,155.16267721708928,155.16267721708928,155.16267721708928,155.16267721708928,-73.10611457169426,-91.7317815329107,-73.10611457169426,-91.7317815329107,-73.10611457169426,-91.7317815329107,0,0,0,0,0,0,-73.10611457169426,-91.7317815329107,0,-91.7317815329107,-73.10611457169426,-91.7317815329107,20,,20,-73.10611457169426,0.44383859236063367,0.22191929618031683,-73.10611457169426,-91.7317815329107,0,-91.7317815329107,-73.10611457169426,-91.7317815329107,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.89445874999998,246.89445874999998,246.89445874999998,246.89445874999998,246.89445874999998,246.89445874999998,18.625666961216446,18.625666961216446,18.625666961216446,155.16267721708928,155.16267721708928,155.16267721708928,155.16267721708928,155.16267721708928,155.16267721708928
2012-04-15 13:00:00,347.24195725,347.24195725,347.24195725,347.24195725,347.24195725,347.24195725,15.386563114487807,254.28260478647945,15.386563114487807,254.28260478647945,15.386563114487807,254.28260478647945,254.28260478647945,254.28260478647945,254.28260478647945,-77.57278934903275,-92.95935246352053,-77.57278934903275,-92.95935246352053,-77.57278934903275,-92.95935246352053,0,0,0,0,0,0,-77.57278934903275,-92.95935246352053,0,-92.95935246352053,-77.57278934903275,-92.95935246352053,20,,20,-77.57278934903275,0.32624291098404445,0.16312145549202223,-77.57278934903275,-92.95935246352052,0,-92.95935246352052,-77.57278934903275,-92.95935246352052,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.24195725,347.24195725,347.24195725,347.24195725,347.24195725,347.24195725,15.386563114487807,15.386563114487807,15.386563114487807,254.28260478647945,254.28260478647945,254.28260478647945,254.28260478647945,254.28260478647945,254.28260478647945
2012-04-15 13:15:00,430.95333400000004,430.95333400000004,430.95333400000004,430.95333400000004,430.95333400000004,430.95333400000004,14.5181777465122,216.53465106743832,14.5181777465122,216.53465106743832,14.5181777465122,216.53465106743832,216.53465106743832,216.53465106743832,216.53465106743832,-199.90050518604951,-214.41868293256172,-199.90050518604951,-214.41868293256172,-199.90050518604951,-214.41868293256172,0,0,0,0,0,0,-199.90050518604951,-214.41868293256172,0,-214.41868293256172,-199.90050518604951,-214.41868293256172,20,,20,-199.90050518604951,0.3328012772734194,0.1664006386367097,-199.90050518604951,-214.4186829325617,0,-214.4186829325617,-199.90050518604951,-214.4186829325617,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.95333400000004,430.95333400000004,430.95333400000004,430.95333400000004,430.95333400000004,430.95333400000004,14.5181777465122,14.5181777465122,14.5181777465122,216.53465106743832,216.53465106743832,216.53465106743832,216.53465106743832,216.53465106743832,216.53465106743832
2012-04-15 13:30:00,213.49982,213.49982,213.49982,213.49982,213.49982,213.49982,17.499996276314604,174.80623840023625,17.499996276314604,174.80623840023625,17.499996276314604,174.80623840023625,174.80623840023625,174.80623840023625,174.80623840023625,-21.193585323449156,-38.693581599763746,-21.193585323449156,-38.693581599763746,-21.193585323449156,-38.693581599763746,0,0,0,0,0,0,-21.193585323449156,-38.693581599763746,0,-38.693581599763746,-21.193585323449156,-38.693581599763746,20,,20,-21.193585323449156,0.2,0.1,-21.19358532344916,-38.69358159976375,0,-38.69358159976375,-21.19358532344916,-38.69358159976375,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.49982,213.49982,213.49982,213.49982,213.49982,213.49982,17.499996276314604,17.499996276314604,17.499996276314604,174.80623840023625,174.80623840023625,174.80623840023625,174.80623840023625,174.80623840023625,174.80623840023625
2012-04-15 13:45:00,317.98041125,317.98041125,317.98041125,317.98041125,317.98041125,317.98041125,19.50088477214095,193.00319224302174,19.50088477214095,193.00319224302174,19.50088477214095,193.00319224302174,193.00319224302174,193.00319224302174,193.00319224302174,-105.47633423483728,-124.97721900697823,-105.47633423483728,-124.97721900697823,-105.47633423483728,-124.97721900697823,0,0,0,0,0,0,-105.47633423483728,-124.97721900697823,0,-124.97721900697823,-105.47633423483728,-124.97721900697823,20,,20,-105.47633423483728,0.288435398804856,0.144217699402428,-105.47633423483728,-124.97721900697825,0,-124.97721900697825,-105.47633423483728,-124.97721900697825,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.98041125,317.98041125,317.98041125,317.98041125,317.98041125,317.98041125,19.50088477214095,19.50088477214095,19.50088477214095,193.00319224302174,193.00319224302174,193.00319224302174,193.00319224302174,193.00319224302174,193.00319224302174
2012-04-15 14:00:00,217.78766925,217.78766925,217.78766925,217.78766925,217.78766925,217.78766925,16.55304271892661,226.33114079495283,16.55304271892661,226.33114079495283,16.55304271892661,226.33114079495283,226.33114079495283,226.33114079495283,226.33114079495283,25.096514263879442,8.543471544952837,25.096514263879442,8.543471544952837,25.096514263879442,8.543471544952837,25.096514263879442,8.543471544952837,0,8.543471544952837,25.096514263879442,8.543471544952837,0,0,0,0,0,0,20,,20,25.096514263879442,0.20161534112679075,0.10080767056339537,0.0,0.0,0,0.0,0.0,0.0,25.09651426387944,8.543471544952837,0,8.543471544952837,25.09651426387944,8.543471544952837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.78766925,217.78766925,217.78766925,217.78766925,217.78766925,217.78766925,16.55304271892661,16.55304271892661,16.55304271892661,226.33114079495283,226.33114079495283,226.33114079495283,226.33114079495283,226.33114079495283,226.33114079495283
2012-04-15 14:15:00,116.432672,116.432672,116.432672,116.432672,116.432672,116.432672,21.254195894353654,226.42795845258337,21.254195894353654,226.42795845258337,21.254195894353654,226.42795845258337,226.42795845258337,226.42795845258337,226.42795845258337,131.24948234693701,109.99528645258337,131.24948234693701,109.99528645258337,131.24948234693701,109.99528645258337,131.24948234693701,109.99528645258337,0,109.99528645258337,131.24948234693701,109.99528645258337,0,0,0,0,0,0,20,,20,131.24948234693701,0.3512309315672286,0.1756154657836143,0.0,0.0,0,0.0,0.0,0.0,131.249482346937,109.99528645258336,0,109.99528645258336,131.249482346937,109.99528645258336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.432672,116.432672,116.432672,116.432672,116.432672,116.432672,21.254195894353654,21.254195894353654,21.254195894353654,226.42795845258337,226.42795845258337,226.42795845258337,226.42795845258337,226.42795845258337,226.42795845258337
2012-04-15 14:30:00,138.66936725000002,138.66936725000002,138.66936725000002,138.66936725000002,138.66936725000002,138.66936725000002,15.0102781768926,181.91906890109382,15.0102781768926,181.91906890109382,15.0102781768926,181.91906890109382,181.91906890109382,181.91906890109382,181.91906890109382,58.2599798279864,43.2497016510938,58.2599798279864,43.2497016510938,58.2599798279864,43.2497016510938,58.2599798279864,43.2497016510938,0,43.2497016510938,58.2599798279864,43.2497016510938,0,0,0,0,0,0,20,,20,58.2599798279864,0.3609232493757458,0.1804616246878729,0.0,0.0,0,0.0,0.0,0.0,58.2599798279864,43.2497016510938,0,43.2497016510938,58.2599798279864,43.2497016510938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.66936725000002,138.66936725000002,138.66936725000002,138.66936725000002,138.66936725000002,138.66936725000002,15.0102781768926,15.0102781768926,15.0102781768926,181.91906890109382,181.91906890109382,181.91906890109382,181.91906890109382,181.91906890109382,181.91906890109382
2012-04-15 14:45:00,119.19372625,119.19372625,119.19372625,119.19372625,119.19372625,119.19372625,14.579093098345654,187.97527723487045,14.579093098345654,187.97527723487045,14.579093098345654,187.97527723487045,187.97527723487045,187.97527723487045,187.97527723487045,83.3606440832161,68.78155098487045,83.3606440832161,68.78155098487045,83.3606440832161,68.78155098487045,83.3606440832161,68.78155098487045,0,68.78155098487045,83.3606440832161,68.78155098487045,0,0,0,0,0,0,20,,20,83.3606440832161,0.38157544184005665,0.19078772092002833,0.0,0.0,0,0.0,0.0,0.0,83.3606440832161,68.78155098487045,0,68.78155098487045,83.3606440832161,68.78155098487045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.19372625,119.19372625,119.19372625,119.19372625,119.19372625,119.19372625,14.579093098345654,14.579093098345654,14.579093098345654,187.97527723487045,187.97527723487045,187.97527723487045,187.97527723487045,187.97527723487045,187.97527723487045
2012-04-15 15:00:00,115.45694300000001,115.45694300000001,115.45694300000001,115.45694300000001,115.45694300000001,115.45694300000001,13.859271201630529,162.21187802900533,13.859271201630529,162.21187802900533,13.859271201630529,162.21187802900533,162.21187802900533,162.21187802900533,162.21187802900533,60.614206230635844,46.754935029005324,60.614206230635844,46.754935029005324,60.614206230635844,46.754935029005324,60.614206230635844,46.754935029005324,0,46.754935029005324,60.614206230635844,46.754935029005324,0,0,0,0,0,0,20,,20,60.614206230635844,0.2603047655630028,0.1301523827815014,0.0,0.0,0,0.0,0.0,0.0,60.61420623063584,46.75493502900533,0,46.75493502900533,60.61420623063584,46.75493502900533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.45694300000001,115.45694300000001,115.45694300000001,115.45694300000001,115.45694300000001,115.45694300000001,13.859271201630529,13.859271201630529,13.859271201630529,162.21187802900533,162.21187802900533,162.21187802900533,162.21187802900533,162.21187802900533,162.21187802900533
2012-04-15 15:15:00,110.64739425,110.64739425,110.64739425,110.64739425,110.64739425,110.64739425,16.09265371679481,168.69063180665572,16.09265371679481,168.69063180665572,16.09265371679481,168.69063180665572,168.69063180665572,168.69063180665572,168.69063180665572,74.13589127345053,58.04323755665571,74.13589127345053,58.04323755665571,74.13589127345053,58.04323755665571,74.13589127345053,58.04323755665571,0,58.04323755665571,74.13589127345053,58.04323755665571,0,0,0,0,0,0,20,,20,74.13589127345053,0.20096980241837792,0.10048490120918896,0.0,0.0,0,0.0,0.0,0.0,74.13589127345053,58.04323755665571,0,58.04323755665571,74.13589127345053,58.04323755665571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.64739425,110.64739425,110.64739425,110.64739425,110.64739425,110.64739425,16.09265371679481,16.09265371679481,16.09265371679481,168.69063180665572,168.69063180665572,168.69063180665572,168.69063180665572,168.69063180665572,168.69063180665572
2012-04-15 15:30:00,210.85063549999998,210.85063549999998,210.85063549999998,210.85063549999998,210.85063549999998,210.85063549999998,18.19805374291001,145.9522111072303,18.19805374291001,145.9522111072303,18.19805374291001,145.9522111072303,145.9522111072303,145.9522111072303,145.9522111072303,-46.70037064985965,-64.89842439276967,-46.70037064985965,-64.89842439276967,-46.70037064985965,-64.89842439276967,0,0,0,0,0,0,-46.70037064985965,-64.89842439276967,0,-64.89842439276967,-46.70037064985965,-64.89842439276967,20,,20,-46.70037064985965,0.23510740470987262,0.11755370235493631,-46.70037064985965,-64.89842439276967,0,-64.89842439276967,-46.70037064985965,-64.89842439276967,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85063549999998,210.85063549999998,210.85063549999998,210.85063549999998,210.85063549999998,210.85063549999998,18.19805374291001,18.19805374291001,18.19805374291001,145.9522111072303,145.9522111072303,145.9522111072303,145.9522111072303,145.9522111072303,145.9522111072303
