date,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-res_load,Controller1-0.time-based_0-dump,Battery1-0.time-based_0-soc,Battery1-0.time-based_0-p_in,Battery1-0.time-based_0-p_out,PV1-0.time-based_0-pv_gen,Wind1-0.time-based_0-wind_gen,Load1-0.time-based_0-load_dem
2012-07-06 05:00:00,0.0,0.6901030471513024,-0.6901030471513024,10.0,0.0,0.0,0.0,0.0738311358486976,0.763934183
14,0.750704775,,,,,,,,
2012-07-06 05:15:00,0.0,0.5829235328037419,-0.5829235328037419,10.0,0.0,0.0,0.0742312155101529,0.0935500266861051,0.750704775
99999,,,,,,,,,
2012-07-06 05:30:00,0.0,0.6060649538866456,-0.6060649538866456,10.0,0.0,0.0,0.0979502712703746,0.0956955868429795,0.7997108119999999
2012-07-06 05:45:00,0.0,0.211533265241074,-0.211533265241074,10.0,0.0,0.0,0.4553813406533175,0.0983132561056085,0.765227862
2012-07-06 06:00:00,0.0,0.4316582562430605,-0.4316582562430605,10.0,0.0,0.0,0.2283167117063378,0.0991963040506016,0.759171272
2012-07-06 06:15:00,0.0,0.5514434104582027,-0.5514434104582027,10.0,0.0,0.0,0.1390802954057018,0.0779045351360954,0.768428241
14,0.706516475,,,,,,,,
2012-07-06 06:30:00,0.6400000000000001,-0.7744988254971457,0.1344988254971455,10.0,0.0,0.0,1.4416087410437148,0.0394065594534308,0.706516475
4,0.0233631803815868,0.686495596,,,,,,,
2012-07-06 06:45:00,-0.0115199999999999,0.4835502272207461,-0.4720302272207461,11.44,0.6400000000000001,0.6400000000000001,0.179582188397667,0.0233631803815868,0.686495596
2012-07-06 07:00:00,0.0645171562074122,-0.0645171562074122,-0.0,11.408,-0.0115199999999999,-0.0115199999999999,0.2163387166557315,0.0267212555516807,0.178542816
2012-07-06 07:15:00,0.627576,-1.1498125769763536,0.5222365769763536,11.553,0.0645171562074122,0.0645171562074122,1.401285551583627,0.0217146453927264,0.27318762
2012-07-06 07:30:00,0.004994584589583,-0.004994584589583,-0.0,12.965,0.627576,0.627576,0.197816843589583,0.0,0.192822259
17522,0.0337214468442237,0.193505976,,,,,,,
2012-07-06 07:45:00,0.0187512113359759,-0.0187512113359759,-0.0,12.976,0.004994584589583,0.004994584589583,0.1785357404917522,0.0337214468442237,0.193505976
2012-07-06 08:00:00,0.551650593607131,-0.551650593607131,-0.0,13.018,0.0187512113359759,0.0187512113359759,0.8358720832285974,0.0204531023785335,0.304674592
2012-07-06 08:15:00,-0.034072,0.0497505401209497,-0.0156785401209497,14.259,0.551650593607131,0.551650593607131,0.2058406988790503,0.0,0.255591239
4026,0.225772226,,,,,,,,
2012-07-06 08:30:00,0.6066880000000001,-1.2995878773861675,0.6928998773861674,14.164,-0.034072,-0.034072,1.4924941276256274,0.0328659757605402,0.225772226
2012-07-06 08:45:00,0.1577195804586165,-0.1577195804586165,-0.0,15.529,0.6066880000000001,0.6066880000000001,0.2591202130067433,0.1059882894518732,0.207388922
2012-07-06 09:00:00,0.1048590245240959,-0.1048590245240959,-0.0,15.884,0.1577195804586165,0.1577195804586165,0.2726988655442474,0.0497750199798485,0.217614861
4885978,,,,,,,,,
2012-07-06 09:15:00,0.5910399999999999,-2.061862977861725,1.470822977861725,16.12,0.1048590245240959,0.1048590245240959,2.2017689343883435,0.0549800214733814,0.194885978
2012-07-06 09:30:00,0.201939193857749,-0.201939193857749,-0.0,17.45,0.5910399999999999,0.5910399999999999,0.3157784616076927,0.0509019592500563,0.164741227
9999999,,,,,,,,,
2012-07-06 09:45:00,0.2334628226553414,-0.2334628226553414,-0.0,17.904,0.201939193857749,0.201939193857749,0.3355830505783328,0.0423486160770085,0.1444688439999999
2012-07-06 10:00:00,0.572568,-1.7264843439193678,1.1539163439193678,18.429,0.2334628226553414,0.2334628226553414,2.3573818344137734,0.0481159915055943,0.679013482
2012-07-06 10:15:00,-0.077736,0.3566740960114242,-0.2789380960114241,19.717,0.572568,0.572568,0.3456972135414805,0.0443891704470953,0.7467604800000001
507,,,,,,,,,
2012-07-06 10:30:00,-0.076008,0.4115870821157772,-0.3355790821157772,19.501,-0.077736,-0.077736,0.3555271693325421,0.0267212555516807,0.793835507
902,0.622045346,,,,,,,,
2012-07-06 10:45:00,0.5656800000000001,-1.9031495905014173,1.3374695905014171,19.29,-0.076008,-0.076008,2.4714014928074683,0.053793443693949,0.622045346
