generation,solution,fitness
14,"[0.06320160801803154, 0.11320443528840236]",[-231.06490891747225]
14,"[0.06395253164340381, 0.1356828142511916]",[-230.99894206234836]
14,"[0.043029724523311934, 0.11338709300359162]",[-227.77265110281976]
14,"[0.06594335562866466, 0.09842262218841036]",[-225.00720685340266]
15,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
15,"[0.10552613820377271, 0.1272337984509367]",[-233.02372002327567]
15,"[0.10552613820377271, 0.1272446928136528]",[-233.02372002327567]
15,"[0.06547987629671692, 0.1272337984509367]",[-232.0579581002959]
15,"[0.06594335562866466, 0.1348691627132268]",[-231.49399656915733]
15,"[0.06402192349368314, 0.11338709300359162]",[-231.06490891747225]
15,"[0.06402192349368314, 0.11345658030399457]",[-231.06490891747225]
15,"[0.06320160801803154, 0.11320443528840236]",[-231.06490891747225]
15,"[0.06395253164340381, 0.1356828142511916]",[-230.99894206234836]
16,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
16,"[0.06547987629671692, 0.12652121740152056]",[-233.27608876064974]
16,"[0.10552613820377271, 0.1272337984509367]",[-233.02372002327567]
16,"[0.10552613820377271, 0.1272446928136528]",[-233.02372002327567]
16,"[0.06547987629671692, 0.1272337984509367]",[-232.0579581002959]
16,"[0.06594335562866466, 0.1348691627132268]",[-231.49399656915733]
16,"[0.06402192349368314, 0.11338709300359162]",[-231.06490891747225]
16,"[0.06402192349368314, 0.11345658030399457]",[-231.06490891747225]
16,"[0.06320160801803154, 0.11320443528840236]",[-231.06490891747225]
17,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
17,"[0.09949173330741834, 0.13476477128400954]",[-234.54051494482238]
17,"[0.06547987629671692, 0.12652121740152056]",[-233.27608876064974]
17,"[0.06402192349368314, 0.12561603260652265]",[-233.27608876064974]
17,"[0.10552613820377271, 0.1272337984509367]",[-233.02372002327567]
17,"[0.10552613820377271, 0.1272446928136528]",[-233.02372002327567]
17,"[0.06547987629671692, 0.1272337984509367]",[-232.0579581002959]
17,"[0.06722283548769982, 0.12734908424287006]",[-232.0579581002959]
17,"[0.06594335562866466, 0.1348691627132268]",[-231.49399656915733]
18,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
18,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
18,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
18,"[0.09949173330741834, 0.13476477128400954]",[-234.54051494482238]
18,"[0.06608391671007496, 0.1269816534353445]",[-233.63024158754092]
18,"[0.06547987629671692, 0.12652121740152056]",[-233.27608876064974]
18,"[0.06402192349368314, 0.12561603260652265]",[-233.27608876064974]
18,"[0.06547987629671692, 0.12653199152220737]",[-233.27608876064974]
18,"[0.10552613820377271, 0.1272337984509367]",[-233.02372002327567]
19,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
19,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
19,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
19,"[0.10492426448966426, 0.1269816534353445]",[-234.7995334338171]
19,"[0.09949173330741834, 0.13476477128400954]",[-234.54051494482238]
19,"[0.06608391671007496, 0.1269816534353445]",[-233.63024158754092]
19,"[0.06608391671007496, 0.12698826495675]",[-233.63024158754092]
19,"[0.06547987629671692, 0.12652121740152056]",[-233.27608876064974]
19,"[0.06402192349368314, 0.12561603260652265]",[-233.27608876064974]
20,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
20,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
20,"[0.1049054250300814, 0.12615278927972526]",[-235.31001659116416]
20,"[0.10410721279103208, 0.126155152951711]",[-235.31001659116416]
20,"[0.1048988408857009, 0.12651885372953484]",[-235.31001659116416]
20,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
20,"[0.10492426448966426, 0.1269816534353445]",[-234.7995334338171]
20,"[0.10526269117348958, 0.1269816534353445]",[-234.7995334338171]
20,"[0.10492311082155278, 0.1269816534353445]",[-234.7995334338171]
21,"[0.08856746546456148, 0.12615278927972526]",[-240.6466266679627]
21,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
21,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
21,"[0.1049054250300814, 0.12615278927972526]",[-235.31001659116416]
21,"[0.10410721279103208, 0.126155152951711]",[-235.31001659116416]
21,"[0.1048988408857009, 0.12651885372953484]",[-235.31001659116416]
21,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
21,"[0.10492426448966426, 0.1269816534353445]",[-234.7995334338171]
21,"[0.10526269117348958, 0.1269816534353445]",[-234.7995334338171]
22,"[0.08856746546456148, 0.12615278927972526]",[-240.6466266679627]
22,"[0.1046341752110165, 0.11506168640653394]",[-238.6900369361307]
22,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
22,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
22,"[0.1049054250300814, 0.12615278927972526]",[-235.31001659116416]
22,"[0.10410721279103208, 0.126155152951711]",[-235.31001659116416]
22,"[0.1048988408857009, 0.12651885372953484]",[-235.31001659116416]
22,"[0.1048988408857009, 0.1261464002695489]",[-235.31001659116416]
22,"[0.1048988408857009, 0.12616747696207375]",[-235.31001659116416]
23,"[0.08856746546456148, 0.12615278927972526]",[-240.6466266679627]
23,"[0.1046341752110165, 0.11506168640653394]",[-238.6900369361307]
23,"[0.10491464417839791, 0.11469493448030006]",[-238.56551128193726]
23,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
23,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
23,"[0.1049054250300814, 0.12615278927972526]",[-235.31001659116416]
23,"[0.10410721279103208, 0.126155152951711]",[-235.31001659116416]
23,"[0.1048988408857009, 0.12651885372953484]",[-235.31001659116416]
23,"[0.1048988408857009, 0.1261464002695489]",[-235.31001659116416]
24,"[0.08856746546456148, 0.12615278927972526]",[-240.6466266679627]
24,"[0.1046341752110165, 0.11506168640653394]",[-238.6900369361307]
24,"[0.10491464417839791, 0.11469493448030006]",[-238.56551128193726]
24,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
24,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
24,"[0.1049054250300814, 0.12615278927972526]",[-235.31001659116416]
24,"[0.10410721279103208, 0.126155152951711]",[-235.31001659116416]
24,"[0.1048988408857009, 0.12651885372953484]",[-235.31001659116416]
24,"[0.1048988408857009, 0.1261464002695489]",[-235.31001659116416]
25,"[0.08856746546456148, 0.12615278927972526]",[-240.6466266679627]
25,"[0.1046341752110165, 0.11506168640653394]",[-238.6900369361307]
25,"[0.10491464417839791, 0.11469493448030006]",[-238.56551128193726]
25,"[0.1046341752110165, 0.11421711448987062]",[-238.56551128193726]
25,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
25,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
25,"[0.1049054250300814, 0.12615278927972526]",[-235.31001659116416]
25,"[0.10410721279103208, 0.126155152951711]",[-235.31001659116416]
25,"[0.1048988408857009, 0.12651885372953484]",[-235.31001659116416]
26,"[0.08856746546456148, 0.12615278927972526]",[-240.6466266679627]
26,"[0.1046341752110165, 0.11506168640653394]",[-238.6900369361307]
26,"[0.10463658007355381, 0.11505404650857579]",[-238.6900369361307]
26,"[0.10491464417839791, 0.11469493448030006]",[-238.56551128193726]
26,"[0.1046341752110165, 0.11421711448987062]",[-238.56551128193726]
26,"[0.10410178231476305, 0.12652121740152056]",[-235.31001659116416]
26,"[0.10490427136196993, 0.12615278927972526]",[-235.31001659116416]
26,"[0.1049054250300814, 0.12615278927972526]",[-235.31001659116416]
26,"[0.10410721279103208, 0.126155152951711]",[-235.31001659116416]
