generation,solution,fitness
17,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
17,"[0.10060544478575728, 0.12239742724899877]",[-59.09147098208906]
17,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
17,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
17,"[0.08366057837365241, 0.12683957696812487]",[-60.139480788147125]
17,"[0.0844540838338382, 0.12396803180706334]",[-60.086797252528164]
17,"[0.06143591846626384, 0.09837431725515257]",[-55.91395775029386]
18,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
18,"[0.0367122343482737, 0.11399216774670769]",[-56.94316277570494]
18,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
18,"[0.10060544478575728, 0.12239742724899877]",[-59.09147098208906]
18,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
18,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
18,"[0.08366057837365241, 0.12683957696812487]",[-60.139480788147125]
18,"[0.0844540838338382, 0.12396803180706334]",[-60.086797252528164]
18,"[0.06143591846626384, 0.09837431725515257]",[-55.91395775029386]
19,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
19,"[0.0367122343482737, 0.11399216774670769]",[-56.94316277570494]
19,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
19,"[0.10060544478575728, 0.12239742724899877]",[-59.09147098208906]
19,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
19,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
19,"[0.08366057837365241, 0.12683957696812487]",[-60.139480788147125]
19,"[0.0844540838338382, 0.12396803180706334]",[-60.086797252528164]
19,"[0.06143591846626384, 0.09837431725515257]",[-55.91395775029386]
20,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
20,"[0.0367122343482737, 0.11399216774670769]",[-56.94316277570494]
20,"[0.04697844208134275, 0.1536229795174895]",[-51.740791839560806]
20,"[0.10060544478575728, 0.12239742724899877]",[-59.09147098208906]
20,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
20,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
20,"[0.08366057837365241, 0.12683957696812487]",[-60.139480788147125]
20,"[0.0844540838338382, 0.12396803180706334]",[-60.086797252528164]
20,"[0.09960892929608782, 0.11512944111179163]",[-59.931556447013875]
21,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
21,"[0.0367122343482737, 0.11399216774670769]",[-56.94316277570494]
21,"[0.04697844208134275, 0.1536229795174895]",[-51.740791839560806]
21,"[0.0782639808497784, 0.12756969737940493]",[-59.727231961473144]
21,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
21,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
21,"[0.08366057837365241, 0.12683957696812487]",[-60.139480788147125]
21,"[0.0844540838338382, 0.12396803180706334]",[-60.086797252528164]
21,"[0.09960892929608782, 0.11512944111179163]",[-59.931556447013875]
